danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072,4lCv7b86sLynZbXhfScfm2,227880
0.954,0.614,-11.48,0.106,0.0816,9.25e-05,0.086,0.839,117.548,4CYyheknaH5R2xfEndtixD,265667
0.594,0.889,-7.775,0.246,0.768,0.0,0.124,0.8,116.187,1zW2csx1vVJrKfvDrFQNVt,221704
0.628,0.867,-3.555,0.0913,0.0108,0.0,0.308,0.597,78.043,2dgFqylK6gyILa4HY65u0y,227311
0.847,0.678,-8.635,0.109,0.0669,0.0,0.274,0.811,97.984,2KKijf6Ett4kmVNJze2roh,200594
0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4cluDES4hQEUhmXj6TXkSo,199987
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,5vlEg2fT4cFWAqU5QptIpQ,182307
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4zOfy9kqJlG0ZXvcaSh4gv,242373
0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,5rgy6ghBq1eRApCkeUdJXf,250627
0.482,0.829,-5.576,0.0437,0.00034,0.0,0.378,0.739,147.99,0l4DTppOxy7NUaEcwXuOb6,212307
0.566,0.713,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,0LQtEJt7x0s6knb6RKdRYc,238147
0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,3U5JVgI2x4rDyHGObzJfNf,259333
0.721,0.88,-3.896,0.0454,0.191,0.0,0.0769,0.655,110.021,1uigwk5hNV84zRd5YQQRTk,202907
0.66,0.666,-4.342,0.0472,0.0759,0.0,0.0268,0.933,89.975,1HwpWwa6bnqqRhK8agG4RS,214227
0.652,0.749,-5.248,0.0886,0.0848,0.0,0.604,0.651,94.103,1z6WtY7X4HQJvzxC4UgkSf,267413
0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067
0.536,0.928,-6.492,0.0589,0.0154,0.00134,0.2,0.389,136.258,0gzqZ9d1jIKo9psEIthwXe,248400
0.515,0.876,-3.756,0.0292,0.000932,0.000166,0.136,0.385,145.916,3hb2ScEVkGchcAQqrPLP0R,258920
0.574,0.96,-4.906,0.032,0.0457,0.0,0.121,0.978,117.486,2Y90nL1ohB4sgYELDs7uNx,254733
0.712,0.807,-3.976,0.0297,0.0244,0.000122,0.0905,0.936,105.024,2kR18wsL3gvXRXdNE4dCGc,205000
0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4w3tQBXhn5345eUXDGBWZG,162467
0.68,0.701,-10.36,0.036,0.316,4.72e-06,0.111,0.933,108.287,4JRem7xHp2l0kmUvt9zCKu,243280
0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,4cktbXiXOapiLBMprHFErI,189486
0.252,0.8,-4.845,0.0368,0.12,0.0538,0.118,0.29,139.361,6Hmj7SrLRbreLVfVS7mV1S,335333
0.501,0.809,-5.264,0.0938,0.0338,0.00602,0.119,0.258,149.964,456WNXWhDwYOSf5SpTuqxd,252819
0.451,0.931,-3.871,0.0719,0.00076,0.0049,0.361,0.172,122.961,1jJci4qxiYcOHhQR247rEU,302840
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253
0.486,0.769,-5.14,0.0341,0.0119,0.00832,0.197,0.393,131.286,5PRRthP9SLfbXB359MfIWv,276720
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947
0.519,0.799,-4.207,0.0371,0.00878,0.0,0.107,0.226,107.489,71iSmEeF0qRVyULABxP75P,277600
0.613,0.661,-4.984,0.0263,0.00652,0.0,0.0976,0.509,110.978,6RKGBcDtgzXx21zUjpeu6F,230773
0.697,0.877,-4.465,0.0463,0.457,0.00961,0.083,0.802,101.99,1lrJG7wz58YNVlbJ6s6fJO,173631
0.577,0.833,-3.337,0.0695,0.0137,0.0,0.121,0.58,107.936,22oEJW6r2rMb9z4IntfyEa,169667
0.76,0.479,-5.574,0.0466,0.556,0.0,0.0703,0.913,89.911,3KkXRkHbMCARz0aVfEt68P,158040
0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,303373
0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035,1WkMMavIMc4JZ8cfMmxHkI,237547
0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290
0.611,0.797,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041,2GiJYvgVaD2HtM8GqD9EgQ,218107
0.57,0.798,-4.92,0.0323,0.102,0.000128,0.178,0.671,103.303,57i3M29DWoo7RDk0Tf0LZG,171333
0.638,0.738,-4.976,0.0292,0.117,0.000384,0.689,0.657,97.021,4BdGO1CaObRD4La9l5Zanz,243147
0.596,0.854,-5.114,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418
0.716,0.85,-9.949,0.0426,0.0631,0.00133,0.189,0.821,125.474,0dMd4rilfd6gPbXaLpNYhu,222600
0.445,0.706,-9.803,0.0461,0.234,0.000252,0.205,0.768,80.823,43DeSV93pJPT4lCZaWZ6b1,266720
0.566,0.755,-5.526,0.0368,0.0338,0.0,0.315,0.445,101.006,4Sfa7hdVkqlM8UW5LsSY3F,264493
0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,32OlwWuMpZ6b0aN2RZOeMS,269667
0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,6sxptembJVty4sNtcPMAVz,234493
0.539,0.702,-7.291,0.0436,0.00245,2.37e-05,0.117,0.206,118.106,5vollujufHY0jMZxx77VWr,301867
0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213
0.77,0.801,-4.182,0.0336,0.00375,0.00281,0.0515,0.725,130.76,79d719EfQQZ7D7nYdgPGEe,233133
0.473,0.861,-6.549,0.0543,0.00212,0.0,0.214,0.308,139.976,0B1ir19jaWI1KNDbWbXwEZ,321293
0.698,0.612,-7.389,0.0269,0.0119,0.00117,0.057,0.312,102.005,3qeUmiinBs7IhJa3kgxWyp,286413
0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,0GO8y8jQk1PkHzS31d699N,218013
0.517,0.711,-5.84,0.0627,0.000763,7.15e-06,0.568,0.582,108.846,3C542UknrX76XSRXTyQ1Qg,211336
0.811,0.622,-6.957,0.0935,0.194,0.0,0.128,0.899,94.995,5yU3w1RzMZpSWytWAU9iyN,181520
0.862,0.599,-6.116,0.296,0.407,0.0,0.0827,0.495,93.922,0lNFKo6PVwAGnEdZfp9UfT,187333
0.611,0.602,-4.89,0.0437,0.000837,0.0,0.112,0.624,168.154,3T4UodGkfZObJ43RtA5KFU,148460
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,60nZcImufyMA1MKQY3dcCH,232720
0.636,0.836,-3.004,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4qRaZYiaOsSvWC7VgcxrI0,193253
0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,70C4NyhjD5OZUMzvWZ3njJ,339000
0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024,3Cx4yrFaX8CeHwBMReOWXI,287733
0.672,0.471,-8.893,0.0485,0.782,0.0,0.125,0.884,136.562,6Et6uBEIIDEforjX21VLZi,147320
0.737,0.495,-13.489,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,1hQFF33xi8ruavZNyovtUN,197147
0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,0.792,128.993,5zA8vzDGqPl2AzZkEYQGKh,197707
0.565,0.615,-10.793,0.0384,0.0487,1.93e-06,0.16,0.591,143.928,2dtK02TSAuTvVYU2wGAVG0,234040
0.643,0.787,-4.466,0.0392,0.568,0.0,0.0592,0.96,118.234,2gujyXPl0FYVvr554ZhvvU,158533
0.659,0.513,-7.186,0.0293,0.315,0.0,0.283,0.855,133.609,6sPOmDulFtLzfX25zICNrC,177533
0.682,0.635,-10.05,0.0346,0.00863,0.0,0.137,0.927,115.584,5qHYXcVvc9xsFB2uH7GpMN,217693
0.588,0.568,-9.766,0.0672,0.16,0.0,0.0792,0.952,106.938,4pNiE4LCVV74vfIBaUHm1b,232760
0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,5Hroj5K7vLpIG4FNCRIjbP,194240
0.846,0.738,-5.772,0.0388,0.181,0.000683,0.0824,0.749,122.005,7GebhNsNL8mm3D218sd1IM,218235
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733
0.661,0.908,-4.897,0.039,0.052,0.0,0.0708,0.656,144.091,6OnfBiiSc9RGKiBKKtZXgQ,296080
0.399,0.491,-10.778,0.0538,0.0563,0.00089,0.11,0.151,91.066,6AGOKlMZWLCaEJGnaROtF9,210463
0.333,0.637,-4.904,0.0581,0.131,1.8e-05,0.149,0.132,139.898,5KCbr5ndeby4y4ggthdiAb,172693
0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,45S5WTQEGOB1VHr1Q4FuPl,208907
0.806,0.513,-6.208,0.0685,0.217,0.0,0.217,0.503,124.988,5ri4zqtWhG07hIuNNDWP76,178157
0.677,0.749,-5.405,0.0391,0.346,0.0,0.347,0.469,107.048,4zizqK3nIOj9BwChgAtV1E,199867
0.683,0.388,-6.488,0.055,0.122,0.0,0.0661,0.7,85.083,2M3sedAgHZHws7dWTiDlEl,214560
